t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
12533.73,468612,9832700,30,2
12534.58,468697,10329404,30,2
12535.14,468746,10334684,30,2
12535.67,468764,10373932,30,2
12536.19,468781,10404028,30,2
12536.72,468824,10415116,30,2
12537.24,469034,10415116,30,2
12537.76,469242,10415116,30,2
12538.28,469451,10404360,30,2
12538.81,469661,10404104,30,2
12539.33,469869,10404104,30,2
12539.85,470078,10404104,30,2
12540.37,470286,10397672,30,2
12540.89,470494,10397672,30,2
12541.41,470704,10397672,30,2
12541.94,470912,10397672,30,2
12542.46,471120,10397672,30,2
12542.98,471329,10397672,30,2
12543.50,471537,10397672,30,2
12544.02,471745,10397672,30,2
12544.54,471953,10397672,30,2
12545.07,472163,10397672,30,2
12545.59,472361,10395764,30,2
12546.11,472569,10395764,30,2
12546.63,472759,10396248,30,2
12547.15,472967,10396248,30,2
12547.67,473157,10400608,30,2
12548.19,473365,10400608,30,2
12548.71,473562,10401756,30,2
12549.23,473770,10401756,30,2
12549.75,473960,10406116,30,2
12550.28,474170,10406116,30,2
12550.80,474361,10410476,30,2
12551.32,474570,10384828,30,2
12551.84,474770,10389188,30,2
12552.36,474980,10389188,30,2
12552.88,475180,10393548,30,2
12553.41,475390,10393548,30,2
12553.93,475590,10397908,30,2
12554.45,475800,10397908,30,2
12554.97,475996,10391912,30,2
12555.50,476206,10391912,30,2
12556.02,476415,10391912,30,2
12556.54,476623,10391912,30,2
12557.06,476833,10391912,30,2
12557.58,477041,10391912,30,2
12558.11,477250,10391912,30,2
12558.63,477458,10391912,30,2
12559.15,477666,10391912,30,2
12559.67,477876,10391912,30,2
12560.19,478084,10391912,30,2
12560.71,478294,10391912,30,2
12561.23,478501,10380636,30,2
12561.75,478709,10380636,30,2
12562.27,478916,10380636,30,2
12562.79,479126,10380636,30,2
12563.32,479334,10380636,30,2
12563.84,479544,10380636,30,2
12564.36,479752,10380636,30,2
12564.88,479960,10380636,30,2
12565.40,480167,10380636,30,2
12565.92,480377,10380636,30,2
12566.44,480585,10380636,30,2
12566.96,480793,10380636,30,2
12567.48,481001,10380636,30,2
12568.01,481209,10380636,30,2
12568.53,481418,10380636,30,2
12569.05,481627,10380636,30,2
12569.57,481836,10380636,30,2
12570.10,482046,10380636,30,2
12570.62,482255,10380636,30,2
12571.14,482463,10380636,30,2
12571.66,482671,10380636,30,2
12572.18,482879,10380636,30,2
12572.70,483087,10355360,30,2
12573.22,483297,10355360,30,2
12573.74,483505,10355360,30,2
12574.27,483714,10355532,30,2
12574.79,483923,10355532,30,2
12575.31,484131,10355532,30,2
12575.83,484341,10355532,30,2
12576.35,484549,10355532,30,2
12576.87,484758,10355532,30,2
12577.39,484966,10355532,30,2
12577.92,485174,10355532,30,2
12578.44,485379,10356044,30,2
12578.96,485583,10357068,30,2
12579.48,485788,10358092,30,2
12580.00,485993,10359116,30,2
12580.52,486198,10360140,30,2
12581.04,486402,10361164,30,2
12581.56,486607,10362188,30,2
12582.08,486814,10363212,30,2
12582.61,487022,10363212,30,2
12583.13,487226,10365260,30,2
12583.65,487432,10365772,30,2
12584.17,487640,10365772,30,2
12584.69,487848,10365772,30,2
12585.21,488057,10364596,30,2
12585.73,488266,10360380,30,2
12586.25,488474,10360380,30,2
12586.78,488682,10360380,30,2
12587.30,488890,10360380,30,2
12587.82,489098,10360380,30,2
