t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
12933.48,12676,9964180,30,2
12934.00,12881,9982808,30,2
12934.52,13089,9982808,30,2
12935.04,13297,9982808,30,2
12935.57,13508,9982812,30,2
12936.09,13718,9982820,30,2
12936.62,13927,9982820,30,2
12937.14,14137,9982820,30,2
12937.67,14347,9982820,30,2
12938.19,14557,9982820,30,2
12938.72,14769,9982820,30,2
12939.25,14979,9982828,30,2
12939.77,15190,9982832,30,2
12940.30,15401,9982832,30,2
12940.83,15613,9982840,30,2
12941.35,15822,9982840,30,2
12941.88,16034,9982840,30,2
12942.41,16244,9982844,30,2
12942.93,16455,9982852,30,2
12943.46,16666,9982860,30,2
12943.98,16876,9982864,30,2
12944.51,17086,9982868,30,2
12945.03,17297,9982872,30,2
12945.56,17507,9982896,30,2
12946.09,17718,9982896,30,2
12946.61,17928,9982900,30,2
12947.14,18137,9982900,30,2
