t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
13167.37,106107,10510960,30,2
13167.90,106233,10796640,30,2
13168.42,106442,10796640,30,2
13168.95,106652,10796628,30,2
13169.47,106861,10796628,30,2
13170.00,107071,10796628,30,2
13170.52,107279,10796628,30,2
13171.04,107487,10796628,30,2
13171.56,107695,10796584,30,2
13172.08,107903,10796584,30,2
13172.60,108111,10796584,30,2
13173.12,108318,10796584,30,2
13173.64,108528,10796584,30,2
13174.16,108736,10796584,30,2
13174.68,108944,10796528,30,2
13175.20,109154,10796528,30,2
13175.73,109362,10796528,30,2
13176.25,109570,10796528,30,2
13176.77,109779,10796528,30,2
13177.29,109987,10796528,30,2
13177.81,110195,10796528,30,2
13178.33,110403,10796528,30,2
13178.85,110611,10796528,30,2
13179.37,110819,10796528,30,2
13179.89,111027,10796528,30,2
13180.41,111235,10796528,30,2
13180.93,111443,10796528,30,2
13181.45,111651,10796528,30,2
13181.97,111861,10796528,30,2
13182.49,112069,10796528,30,2
13183.01,112277,10796528,30,2
13183.53,112485,10796528,30,2
13184.05,112693,10796528,30,2
13184.57,112902,10796528,30,2
13185.10,113110,10796528,30,2
13185.62,113318,10796528,30,2
13186.14,113526,10796528,30,2
13186.66,113734,10796528,30,2
13187.18,113942,10796528,30,2
13187.70,114150,10796528,30,2
13188.22,114359,10796528,30,2
13188.74,114567,10796528,30,2
13189.27,114777,10796528,30,2
13189.79,114985,10796528,30,2
13190.31,115193,10796528,30,2
13190.83,115401,10796528,30,2
13191.35,115610,10796528,30,2
13191.87,115818,10796528,30,2
13192.39,116026,10796528,30,2
13192.91,116234,10796528,30,2
13193.43,116442,10796528,30,2
13193.95,116650,10796528,30,2
13194.47,116859,10796528,30,2
13194.99,117067,10796528,30,2
13195.51,117275,10796528,30,2
13196.03,117483,10796528,30,2
13196.55,117691,10796528,30,2
13197.07,117899,10796528,30,2
13197.60,118109,10796528,30,2
13198.12,118317,10796528,30,2
13198.64,118526,10796528,30,2
13199.16,118736,10796528,30,2
13199.68,118944,10796528,30,2
13200.21,119152,10796528,30,2
13200.73,119361,10796528,30,2
13201.25,119569,10796528,30,2
13201.77,119777,10796512,30,2
13202.29,119987,10796512,30,2
13202.81,120195,10796512,30,2
13203.33,120403,10796512,30,2
13203.85,120611,10796512,30,2
13204.37,120819,10796512,30,2
13204.89,121027,10796512,30,2
13205.42,121236,10796512,30,2
13205.94,121446,10796512,30,2
13206.46,121654,10796512,30,2
13206.98,121863,10796512,30,2
13207.51,122071,10796512,30,2
13208.03,122279,10796512,30,2
13208.55,122489,10796512,30,2
13209.07,122697,10796512,30,2
13209.59,122905,10796512,30,2
13210.11,123113,10796512,30,2
13210.63,123321,10796512,30,2
13211.15,123530,10796512,30,2
13211.67,123738,10796512,30,2
13212.19,123946,10796512,30,2
13212.71,124154,10796512,30,2
13213.23,124362,10796512,30,2
13213.75,124570,10796512,30,2
13214.27,124779,10796512,30,2
