t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11381.43,9044,7590664,30,2
11381.95,9245,7610748,30,2
11382.47,9453,7610748,30,2
11382.99,9659,7610748,30,2
11383.51,9869,7610748,30,2
11384.04,10080,7610748,30,2
11384.56,10289,7610748,30,2
11385.09,10499,7610756,30,2
11385.61,10709,7610756,30,2
11386.14,10918,7610756,30,2
11386.66,11128,7610756,30,2
11387.19,11339,7610764,30,2
11387.71,11549,7610764,30,2
11388.24,11761,7610764,30,2
11388.76,11971,7610764,30,2
11389.29,12182,7610764,30,2
11389.82,12392,7610764,30,2
11390.35,12603,7610768,30,2
11390.89,12819,7610768,30,2
11391.42,13033,7610768,30,2
11391.95,13246,7610780,30,2
11392.48,13459,7610780,30,2
11393.01,13670,7610780,30,2
11393.53,13881,7610784,30,2
11394.06,14091,7610784,30,2
