t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
11736.66,150773,8731360,30,2
11737.18,150982,8731632,30,2
11737.70,151190,8731632,30,2
11738.23,151400,8731632,30,2
11738.75,151608,8732732,30,2
11739.27,151817,8732732,30,2
11739.79,152025,8732732,30,2
11740.31,152233,8732732,30,2
11740.83,152441,8732732,30,2
11741.36,152651,8732732,30,2
11741.88,152861,8732732,30,2
11742.40,153069,8732732,30,2
11742.92,153277,8732732,30,2
11743.44,153486,8732740,30,2
11743.97,153694,8732740,30,2
11744.49,153904,8732740,30,2
11745.01,154113,8732740,30,2
11745.53,154321,8732740,30,2
11746.05,154531,8732748,30,2
11746.57,154739,8732748,30,2
11747.10,154949,8732748,30,2
11747.62,155159,8732748,30,2
11748.14,155367,8732748,30,2
11748.66,155577,8732764,30,2
11749.18,155785,8732768,30,2
11749.70,155993,8732768,30,2
11750.23,156204,8732808,30,2
11750.75,156412,8732808,30,2
11751.27,156622,8732808,30,2
11751.79,156831,8732808,30,2
11752.32,157040,8732808,30,2
11752.84,157248,8732808,30,2
11753.36,157458,8732808,30,2
11753.88,157666,8732808,30,2
11754.40,157876,8732808,30,2
11754.92,158083,8732808,30,2
11755.45,158293,8732808,30,2
11755.97,158502,8732808,30,2
11756.49,158712,8732808,30,2
11757.01,158920,8732808,30,2
11757.54,159130,8732816,30,2
11758.06,159338,8732816,30,2
11758.58,159548,8732816,30,2
11759.10,159757,8732816,30,2
11759.63,159966,8732816,30,2
11760.15,160179,8732820,30,2
11760.68,160392,8732820,30,2
