t_mono,cpu_jiffies,rss_total_kb,threads_total,procs
933.12,140178,8150684,39,2
933.64,140341,8445832,39,2
934.16,140653,8445832,39,2
934.68,140965,8445832,39,2
935.20,141277,8445832,39,2
935.72,141589,8445832,39,2
936.24,141901,8445832,39,2
936.76,142213,8445832,39,2
937.28,142525,8445832,39,2
937.79,142835,8445832,39,2
938.31,143147,8445832,39,2
938.83,143456,8445832,39,2
939.35,143768,8445832,39,2
939.87,144080,8445832,39,2
940.39,144392,8445832,39,2
940.91,144704,8445832,39,2
941.43,145016,8445832,39,2
941.95,145328,8445832,39,2
942.47,145640,8445832,39,2
942.99,145952,8445832,39,2
943.51,146264,8445832,39,2
944.03,146576,8445832,39,2
944.55,146888,8445832,39,2
945.07,147198,8445832,39,2
945.59,147515,8445832,39,2
946.11,147827,8445832,39,2
946.64,148141,8445832,39,2
947.16,148453,8445832,39,2
947.68,148765,8445832,39,2
948.20,149077,8445832,39,2
948.72,149389,8445832,39,2
949.24,149701,8445832,39,2
949.76,150013,8445832,39,2
950.28,150325,8445832,39,2
950.80,150637,8445832,39,2
951.31,150946,8445832,39,2
951.84,151261,8445832,39,2
952.36,151573,8445832,39,2
952.88,151887,8445832,39,2
953.40,152201,8445832,39,2
953.92,152511,8445832,39,2
954.44,152823,8445832,39,2
954.96,153135,8445832,39,2
955.48,153445,8445832,39,2
956.00,153757,8445832,39,2
956.52,154069,8445832,39,2
957.04,154381,8445832,39,2
957.56,154693,8445832,39,2
958.07,155002,8445832,39,2
958.59,155314,8445832,39,2
959.11,155626,8445832,39,2
959.63,155936,8445832,39,2
960.15,156248,8445832,39,2
960.67,156560,8445832,39,2
961.19,156872,8445832,39,2
961.71,157184,8445832,39,2
962.23,157496,8445832,39,2
962.75,157808,8445832,39,2
963.27,158120,8445832,39,2
963.79,158432,8445832,39,2
964.31,158744,8445832,39,2
964.83,159053,8445832,39,2
965.35,159365,8445832,39,2
965.86,159677,8445832,39,2
966.38,159989,8445832,39,2
966.90,160299,8445832,39,2
967.42,160611,8445832,39,2
967.94,160923,8445832,39,2
968.46,161235,8445832,39,2
968.98,161547,8445832,39,2
969.50,161859,8445832,39,2
970.02,162171,8445832,39,2
970.54,162483,8445832,39,2
971.06,162795,8445832,39,2
971.58,163104,8445832,39,2
972.10,163419,8445832,39,2
972.62,163731,8445832,39,2
973.14,164043,8445832,39,2
973.66,164355,8445832,39,2
