batch_id,config,prompt_size,rep,num_ctx,concorrencia,ts_iso,wall_s,cpu_s,cores_medio,cores_pico,rss_pico_mb,threads_pico,procs_pico,vazao_req_s,amostras,modelo,ollama_ver,num_predict,keep_alive
1,padrao,short,1,4096,1,2026-09-15T13:02:09-03:00,11.97,69.310,5.79,6.10,7404.9,39,2,.0835,23,qwen3:8b,ollama version is 0.34.0,256,10m
2,padrao,short,2,4096,1,2026-09-15T13:02:21-03:00,11.87,69.430,5.84,6.10,7424.6,39,2,.0842,23,qwen3:8b,ollama version is 0.34.0,256,10m
3,padrao,short,3,4096,1,2026-09-15T13:02:33-03:00,14.14,82.070,5.80,6.12,7444.5,39,2,.0707,27,qwen3:8b,ollama version is 0.34.0,256,10m
4,padrao,long,1,4096,1,2026-09-15T13:02:48-03:00,92.50,552.920,5.97,6.12,7668.3,39,2,.0108,177,qwen3:8b,ollama version is 0.34.0,256,10m
5,padrao,long,2,4096,1,2026-09-15T13:04:20-03:00,93.48,558.350,5.97,6.12,7959.3,39,2,.0106,179,qwen3:8b,ollama version is 0.34.0,256,10m
6,padrao,long,3,4096,1,2026-09-15T13:05:54-03:00,96.54,577.100,5.97,6.15,8247.9,39,2,.0103,185,qwen3:8b,ollama version is 0.34.0,256,10m
7,concorrencia,short,1,4096,4,2026-09-15T13:07:32-03:00,28.00,166.280,5.93,6.10,8537.0,39,2,.1428,54,qwen3:8b,ollama version is 0.34.0,256,10m
8,concorrencia,short,2,4096,4,2026-09-15T13:08:00-03:00,20.79,121.700,5.85,6.12,8637.3,39,2,.1924,40,qwen3:8b,ollama version is 0.34.0,256,10m
9,concorrencia,short,3,4096,4,2026-09-15T13:08:21-03:00,31.42,185.570,5.90,6.10,8714.3,39,2,.1273,60,qwen3:8b,ollama version is 0.34.0,256,10m
10,concorrencia,long,1,4096,4,2026-09-15T13:08:52-03:00,299.29,1791.750,5.98,6.12,8806.4,39,2,.0133,574,qwen3:8b,ollama version is 0.34.0,256,10m
11,concorrencia,long,2,4096,4,2026-09-15T13:13:51-03:00,299.84,1791.810,5.97,6.12,9959.5,39,2,.0133,576,qwen3:8b,ollama version is 0.34.0,256,10m
12,concorrencia,long,3,4096,4,2026-09-15T13:18:51-03:00,304.54,1813.330,5.95,6.13,11104.1,39,2,.0131,584,qwen3:8b,ollama version is 0.34.0,256,10m
13,contexto_longo,short,1,8192,1,2026-09-15T13:24:13-03:00,13.58,79.400,5.84,6.10,9707.3,39,2,.0736,26,qwen3:8b,ollama version is 0.34.0,256,10m
14,contexto_longo,short,2,8192,1,2026-09-15T13:24:27-03:00,10.26,60.270,5.87,6.12,9728.3,39,2,.0974,20,qwen3:8b,ollama version is 0.34.0,256,10m
15,contexto_longo,short,3,8192,1,2026-09-15T13:24:37-03:00,13.27,79.180,5.96,6.15,9746.5,39,2,.0753,26,qwen3:8b,ollama version is 0.34.0,256,10m
16,contexto_longo,long,1,8192,1,2026-09-15T13:24:50-03:00,91.22,544.310,5.96,6.15,9979.7,39,2,.0109,174,qwen3:8b,ollama version is 0.34.0,256,10m
17,contexto_longo,long,2,8192,1,2026-09-15T13:26:21-03:00,90.52,540.200,5.96,6.12,10268.5,39,2,.0110,173,qwen3:8b,ollama version is 0.34.0,256,10m
18,contexto_longo,long,3,8192,1,2026-09-15T13:27:52-03:00,91.65,546.360,5.96,6.15,10557.7,39,2,.0109,175,qwen3:8b,ollama version is 0.34.0,256,10m
