batch_id,config,prompt_size,rep,req_index,http_status,client_elapsed_s,ttft_s,total_duration_ns,load_duration_ns,prompt_eval_count,prompt_eval_duration_ns,eval_count,eval_duration_ns,tokens_per_second,done_reason,resp_chars,erro
1,padrao,short,1,1,200,11.95,1.4757,11945094927,1028343,51,1474751000,89,10466217000,8.5035,stop,343,
2,padrao,short,2,1,200,11.86,1.3732,11851814170,1691169,51,1371608000,89,10463269000,8.5060,stop,343,
3,padrao,short,3,1,200,14.13,1.3547,14119015705,1215637,51,1353555000,108,12745668000,8.4735,stop,414,
4,padrao,long,1,1,200,92.49,53.4714,92468932171,978688,1794,53470459000,256,38961312000,6.5706,length,982,
5,padrao,long,2,1,200,93.47,53.6230,93453614789,987655,1794,53622084000,256,39626327000,6.4603,length,987,
6,padrao,long,3,1,200,96.53,55.8381,96509288013,886543,1794,55837312000,256,40336731000,6.3465,length,1010,
7,concorrencia,short,1,1,200,27.71,2.9266,27689232634,827330,52,2925833000,124,22149922000,5.5982,stop,474,
7,concorrencia,short,1,2,200,27.87,2.6123,27850348643,938672,52,2611408000,126,25234080000,4.9932,stop,487,
7,concorrencia,short,1,3,200,27.42,2.6119,27409148600,835747,52,2611067000,124,24793497000,5.0013,stop,474,
7,concorrencia,short,1,4,200,27.98,2.9255,27967434425,693957,52,2924882000,126,22432438000,5.6168,stop,480,
8,concorrencia,short,2,1,200,20.42,5.1295,20401761628,902018,52,5128618000,85,15146977000,5.6117,stop,325,
8,concorrencia,short,2,2,200,20.66,5.1342,20643554622,4632404,52,5129605000,86,15388602000,5.5885,stop,333,
8,concorrencia,short,2,3,200,19.58,5.1306,19565377050,1275451,52,5129369000,82,14309592000,5.7304,stop,311,
8,concorrencia,short,2,4,200,20.78,5.1297,20767612731,764662,52,5128973000,87,15513471000,5.6080,stop,332,
9,concorrencia,short,3,1,200,18.97,5.1617,18960462218,794819,52,5160972000,78,13734980000,5.6789,stop,313,
9,concorrencia,short,3,2,200,31.40,5.1620,31391936587,1349903,52,5160680000,124,26165673000,4.7390,stop,474,
9,concorrencia,short,3,3,200,28.26,5.1613,28244923770,988789,52,5160401000,111,23019297000,4.8220,stop,436,
9,concorrencia,short,3,4,200,31.40,5.1617,31390125247,576705,52,5161140000,124,26165374000,4.7391,stop,474,
10,concorrencia,long,1,1,200,298.95,93.4257,298931184911,1520106,1796,93424207000,256,112980578000,2.2658,length,1015,
10,concorrencia,long,1,2,200,299.27,63.0520,299256025345,810288,1796,63051235000,256,80897177000,3.1645,length,1019,
10,concorrencia,long,1,3,200,298.51,93.6772,298493371321,1969694,1796,93675252000,256,174685655000,1.4654,length,990,
10,concorrencia,long,1,4,200,297.92,61.6584,297897761535,978899,1796,61657458000,256,236149934000,1.0840,length,1017,
11,concorrencia,long,2,1,200,299.83,62.8240,299807898941,2726185,1796,62821276000,256,80906938000,3.1641,length,1040,
11,concorrencia,long,2,2,200,299.66,93.1014,299644472545,2379587,1796,93099040000,256,112889821000,2.2676,length,968,
11,concorrencia,long,2,3,200,299.22,93.7120,299200900920,886859,1796,93711208000,256,174367107000,1.4681,length,987,
11,concorrencia,long,2,4,200,298.65,61.5696,298627967287,1462832,1796,61568214000,256,235673622000,1.0862,length,985,
12,concorrencia,long,3,1,200,304.53,62.6381,304436428543,2433648,1796,62635719000,256,84695210000,3.0226,length,988,
12,concorrencia,long,3,2,200,303.03,61.3882,302929660734,1371134,1796,61386895000,256,240017167000,1.0665,length,1020,
12,concorrencia,long,3,3,200,304.36,93.1932,304256601725,1899655,1796,93191330000,256,116751184000,2.1926,length,968,
12,concorrencia,long,3,4,200,303.84,94.1522,303732819936,855885,1796,94151379000,256,178193448000,1.4366,length,972,
13,contexto_longo,short,1,1,200,13.57,1.5490,13542717183,1314966,53,1547729000,101,11985101000,8.4271,stop,379,
14,contexto_longo,short,2,1,200,10.24,1.3595,10237775554,872646,53,1358661000,75,8841160000,8.4831,stop,292,
15,contexto_longo,short,3,1,200,13.26,1.3902,13247231460,1067396,53,1389231000,100,11835622000,8.4490,stop,378,
16,contexto_longo,long,1,1,200,91.20,52.6705,91185566097,904687,1796,52669656000,256,38477926000,6.6531,length,983,
17,contexto_longo,long,2,1,200,90.51,52.1676,90492239403,994689,1796,52166645000,256,38045810000,6.7287,length,1000,
18,contexto_longo,long,3,1,200,91.64,52.6752,91576601593,992420,1796,52674219000,256,38640569000,6.6251,length,1002,
